"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 05 18:38:06 GMT 2024","Wed Jun 05 18:38:07 GMT 2024","701","tests","test_login","","","","test_failed_login",""
"passed","Wed Jun 05 18:38:05 GMT 2024","Wed Jun 05 18:38:06 GMT 2024","681","tests","test_login","","","","test_successful_login",""
"passed","Wed Jun 05 18:38:04 GMT 2024","Wed Jun 05 18:38:04 GMT 2024","42","tests","test_home","","","","test_successful_login",""
"passed","Wed Jun 05 18:37:49 GMT 2024","Wed Jun 05 18:37:51 GMT 2024","1219","tests","test_edit","","","","test_autocomplete",""
"broken","Wed Jun 05 18:37:52 GMT 2024","Wed Jun 05 18:38:03 GMT 2024","11149","tests","test_edit","","","","test_edit",""
