"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 08 05:54:19 GMT 2024","Sat Jun 08 05:54:19 GMT 2024","0","tests.api","test_api_login","","","","test_dummy",""
"passed","Sat Jun 08 05:54:18 GMT 2024","Sat Jun 08 05:54:18 GMT 2024","741","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Sat Jun 08 05:54:18 GMT 2024","Sat Jun 08 05:54:19 GMT 2024","323","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Sat Jun 08 05:54:18 GMT 2024","Sat Jun 08 05:54:18 GMT 2024","19","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Sat Jun 08 05:54:23 GMT 2024","Sat Jun 08 05:54:25 GMT 2024","2510","tests","test_edit","","","","test_edit",""
"passed","Sat Jun 08 05:54:27 GMT 2024","Sat Jun 08 05:54:27 GMT 2024","40","tests","test_home","","","","test_successful_login",""
"passed","Sat Jun 08 05:54:29 GMT 2024","Sat Jun 08 05:54:29 GMT 2024","689","tests","test_login","","","","test_failed_login",""
"passed","Sat Jun 08 05:54:21 GMT 2024","Sat Jun 08 05:54:22 GMT 2024","669","tests","test_edit","","","","test_autocomplete",""
"passed","Sat Jun 08 05:54:27 GMT 2024","Sat Jun 08 05:54:28 GMT 2024","687","tests","test_login","","","","test_successful_login",""
