"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 12:57:21 GMT 2024","Thu Jun 06 12:57:24 GMT 2024","2623","tests","test_edit","","","","test_edit",""
"passed","Thu Jun 06 12:57:09 GMT 2024","Thu Jun 06 12:57:09 GMT 2024","316","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Thu Jun 06 12:57:08 GMT 2024","Thu Jun 06 12:57:09 GMT 2024","742","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Thu Jun 06 12:57:09 GMT 2024","Thu Jun 06 12:57:09 GMT 2024","16","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Thu Jun 06 12:57:26 GMT 2024","Thu Jun 06 12:57:27 GMT 2024","685","tests","test_login","","","","test_successful_login",""
"passed","Thu Jun 06 12:57:27 GMT 2024","Thu Jun 06 12:57:28 GMT 2024","681","tests","test_login","","","","test_failed_login",""
"passed","Thu Jun 06 12:57:19 GMT 2024","Thu Jun 06 12:57:20 GMT 2024","803","tests","test_edit","","","","test_autocomplete",""
"passed","Thu Jun 06 12:57:25 GMT 2024","Thu Jun 06 12:57:25 GMT 2024","43","tests","test_home","","","","test_successful_login",""
