"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 12:44:29 GMT 2024","Thu Jun 06 12:44:29 GMT 2024","776","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Thu Jun 06 12:44:29 GMT 2024","Thu Jun 06 12:44:30 GMT 2024","320","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Thu Jun 06 12:44:34 GMT 2024","Thu Jun 06 12:44:36 GMT 2024","2504","tests","test_edit","","","","test_edit",""
"passed","Thu Jun 06 12:44:40 GMT 2024","Thu Jun 06 12:44:40 GMT 2024","688","tests","test_login","","","","test_failed_login",""
"passed","Thu Jun 06 12:44:38 GMT 2024","Thu Jun 06 12:44:39 GMT 2024","684","tests","test_login","","","","test_successful_login",""
"passed","Thu Jun 06 12:44:32 GMT 2024","Thu Jun 06 12:44:33 GMT 2024","681","tests","test_edit","","","","test_autocomplete",""
"passed","Thu Jun 06 12:44:29 GMT 2024","Thu Jun 06 12:44:29 GMT 2024","19","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Thu Jun 06 12:44:38 GMT 2024","Thu Jun 06 12:44:38 GMT 2024","42","tests","test_home","","","","test_successful_login",""
