"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 05 18:46:08 GMT 2024","Wed Jun 05 18:46:08 GMT 2024","306","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Wed Jun 05 18:46:16 GMT 2024","Wed Jun 05 18:46:16 GMT 2024","38","tests","test_home","","","","test_successful_login",""
"passed","Wed Jun 05 18:46:17 GMT 2024","Wed Jun 05 18:46:17 GMT 2024","681","tests","test_login","","","","test_successful_login",""
"passed","Wed Jun 05 18:46:07 GMT 2024","Wed Jun 05 18:46:08 GMT 2024","761","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Wed Jun 05 18:46:08 GMT 2024","Wed Jun 05 18:46:08 GMT 2024","21","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Wed Jun 05 18:46:12 GMT 2024","Wed Jun 05 18:46:15 GMT 2024","2486","tests","test_edit","","","","test_edit",""
"passed","Wed Jun 05 18:46:18 GMT 2024","Wed Jun 05 18:46:19 GMT 2024","680","tests","test_login","","","","test_failed_login",""
"passed","Wed Jun 05 18:46:11 GMT 2024","Wed Jun 05 18:46:11 GMT 2024","665","tests","test_edit","","","","test_autocomplete",""
