"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 13:25:17 GMT 2024","Thu Jun 06 13:25:17 GMT 2024","692","tests","test_login","","","","test_failed_login",""
"passed","Thu Jun 06 13:25:06 GMT 2024","Thu Jun 06 13:25:07 GMT 2024","338","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Thu Jun 06 13:25:09 GMT 2024","Thu Jun 06 13:25:10 GMT 2024","680","tests","test_edit","","","","test_autocomplete",""
"passed","Thu Jun 06 13:25:07 GMT 2024","Thu Jun 06 13:25:07 GMT 2024","0","tests.api","test_api_login","","","","test_dummy",""
"passed","Thu Jun 06 13:25:15 GMT 2024","Thu Jun 06 13:25:15 GMT 2024","44","tests","test_home","","","","test_successful_login",""
"passed","Thu Jun 06 13:25:15 GMT 2024","Thu Jun 06 13:25:16 GMT 2024","689","tests","test_login","","","","test_successful_login",""
"passed","Thu Jun 06 13:25:11 GMT 2024","Thu Jun 06 13:25:13 GMT 2024","2502","tests","test_edit","","","","test_edit",""
"passed","Thu Jun 06 13:25:06 GMT 2024","Thu Jun 06 13:25:06 GMT 2024","753","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Thu Jun 06 13:25:06 GMT 2024","Thu Jun 06 13:25:06 GMT 2024","19","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
