"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 13:19:49 GMT 2024","Thu Jun 06 13:19:49 GMT 2024","45","tests","test_home","","","","test_successful_login",""
"passed","Thu Jun 06 13:19:50 GMT 2024","Thu Jun 06 13:19:50 GMT 2024","686","tests","test_login","","","","test_successful_login",""
"passed","Thu Jun 06 13:19:22 GMT 2024","Thu Jun 06 13:19:22 GMT 2024","0","tests.api","test_api_login","","","","test_dummy",""
"broken","Thu Jun 06 13:19:37 GMT 2024","Thu Jun 06 13:19:48 GMT 2024","11223","tests","test_edit","","","","test_edit",""
"passed","Thu Jun 06 13:19:21 GMT 2024","Thu Jun 06 13:19:22 GMT 2024","810","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Thu Jun 06 13:19:22 GMT 2024","Thu Jun 06 13:19:22 GMT 2024","20","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Thu Jun 06 13:19:51 GMT 2024","Thu Jun 06 13:19:52 GMT 2024","689","tests","test_login","","","","test_failed_login",""
"passed","Thu Jun 06 13:19:22 GMT 2024","Thu Jun 06 13:19:22 GMT 2024","320","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Thu Jun 06 13:19:34 GMT 2024","Thu Jun 06 13:19:35 GMT 2024","905","tests","test_edit","","","","test_autocomplete",""
